Year	Month	MeanMaxTemp
1974	3	28.8
1974	4	22.6
1974	5	19
1974	6	18
1974	7	15.9
1974	8	17.6
1974	9	20.3
1974	10	19.6
1974	11	23.3
1974	12	28.8
1975	1	30
1975	2	33.4
1975	3	26.9
1975	4	22.4
1975	5	20.4
1975	6	18.1
1975	7	16.3
1975	8	17.5
1975	9	18.7
1975	10	21.5
1975	11	25
1975	12	31.4
1976	1	30.1
1976	2	32.5
1976	3	30.6
1976	4	26.5
1976	5	20.9
1976	6	18.7
1976	7	18.1
1976	8	17.7
1976	9	19.6
1976	10	23
1976	11	23.3
1976	12	27.9
1977	1	31
1977	2	32.7
1977	3	27.4
1977	4	26.1
1977	5	19.4
1977	6	18.1
1977	7	18.1
1977	8	17.3
1977	9	18.6
1977	10	21.2
1977	11	24.7
1977	12	31.5
1978	1	33.7
1978	2	31.6
1978	3	31.2
1978	4	27
1978	5	19.9
1978	6	17
1978	7	15.9
1978	8	18.5
1978	9	18.1
1978	10	22.2
1978	11	26.9
1978	12	29.1
1979	1	30.5
1979	2	30.3
1979	3	28.4
1979	4	23.2
1979	5	19.7
1979	6	17.4
1979	7	16.8
1979	8	16.8
1979	9	18.4
1979	10	21.5
1979	11	23.8
1979	12	28.7
1980	1	32.6
1980	2	29.7
1980	3	29.4
1980	4	21.3
1980	5	20.5
1980	6	17
1980	7	16.5
1980	8	17.5
1980	9	18.5
1980	10	19.4
1980	11	24.1
1980	12	27
1981	1	31.5
1981	2	28.4
1981	3	29.1
1981	4	24.3
1981	5	20.2
1981	6	15.6
1981	7	16.7
1981	8	16.1
1981	9	19.3
1981	10	22
1981	11	22.4
1981	12	26.8
1982	1	28
1982	2	30.3
1982	3	26.5
1982	4	24
1982	5	20.1
1982	6	17
1982	7	16.8
1982	8	18.4
1982	9	19.7
1982	10	22.6
1982	11	26.9
1982	12	28.4
1983	1	32.5
1983	2	28.1
1983	3	30.1
1983	4	24.9
1983	5	21
1983	6	18.5
1983	7	17.1
1983	8	18.2
1983	9	19.6
1983	10	23.4
1983	11	24.6
1983	12	29
1984	1	32.2
1984	2	31
1984	3	27
1984	4	25.7
1984	5	19.2
1984	6	18.3
1984	7	16.5
1984	8	16.5
1984	9	18.7
1984	10	21.5
1984	11	24.2
1984	12	25.6
1985	1	29.9
1985	2	34.3
1985	3	29.9
1985	4	23.3
1985	5	20.3
1985	6	18.8
1985	7	17.4
1985	8	17.3
1985	9	20.5
1985	10	21.4
1985	11	25.7
1985	12	25.9
1986	1	32.3
1986	2	27.6
1986	3	26.3
1986	4	23.8
1986	5	20.1
1986	6	17.7
1986	7	15.5
1987	10	21.7
1988	1	29.3
1988	2	33.1
1988	3	29.6
1988	4	25.6
1988	5	20.4
1988	6	17.6
1988	7	16.5
1988	8	17.5
1988	9	19
1988	10	20.4
1988	11	24
1988	12	28.4
1990	1	27.8
1990	2	30.4
1990	3	28
1990	4	22.4
1990	5	19.6
1990	6	16.7
1990	7	15.7
1990	8	16.4
1990	9	19.8
1990	10	20.2
1990	11	24.2
1990	12	27.1
1991	1	31.3
1991	2	30.4
1991	3	28.1
1991	4	25.3
1991	5	20.3
1991	6	17.6
1991	7	16.8
1991	8	17.6
1991	9	18.6
1991	10	22.6
1991	11	23
1991	12	29.5
1992	1	32.2
1992	2	29.6
1992	3	27.2
1992	4	24.2
1992	5	19.2
1992	6	17.6
1992	7	17.3
1992	8	15.7
1992	9	17.2
1992	10	22
1992	11	23.1
1992	12	27.8
1993	1	31
1993	2	29.7
1993	3	29.3
1993	4	22.6
1993	5	19.7
1993	6	16.9
1993	7	16.1
1993	8	16.7
1993	9	18.9
1993	10	19.3
1993	11	25.8
1993	12	29
1994	1	30.7
1994	2	28.7
1994	3	30
1994	4	26.4
1994	5	20.9
1994	6	17.7
1994	7	17.1
1994	8	18.4
1994	9	19.8
1994	10	21.8
1994	11	26.9
1994	12	30.1
1995	1	31.7
1995	2	31.6
1995	3	30
1995	4	24.4
1995	5	19.7
1995	6	16.9
1995	7	16.4
1995	8	17.8
1995	9	19
1995	10	21.7
1995	11	23.8
1995	12	26.8
1996	1	29.8
1996	2	33.4
1996	3	27.1
1996	4	25
1996	5	21.8
1996	6	17.7
1996	7	16.5
1996	8	16.7
1996	9	17.8
1996	10	21.7
1996	11	25.5
1996	12	26.6
1997	1	31.8
1997	2	30.7
1997	3	26.3
1997	4	25.1
1997	5	19.5
1997	6	18.5
1997	7	17.1
1997	8	17
1997	9	19
1997	10	21.9
1997	11	24.2
1997	12	30.3
1998	1	31.5
1998	2	31.8
1998	3	28.6
1998	4	23
1998	5	21.9
1998	6	17
1998	7	15.6
1998	8	17.9
1998	9	17.6
1998	10	21.3
1998	11	25.2
1998	12	28.9
1999	1	30.4
1999	2	32.4
1999	3	27.5
1999	4	27.5
1999	5	20.4
1999	6	17.8
1999	7	17.7
1999	8	17.8
1999	9	18.8
1999	10	20.8
1999	11	27.2
1999	12	30
2000	1	29.6
2000	2	30
2000	3	27.1
2000	4	24.4
2000	5	20.5
2000	6	18.4
2000	7	16.6
2000	8	16.4
2000	9	19.1
2000	10	22.4
2000	11	25.8
2000	12	30.4
2001	1	31.5
2001	2	29.8
2001	3	27.2
2001	4	24.9
2001	5	20.2
2001	6	18.5
2001	7	17.2
2001	8	16.8
2001	9	18.2
2001	10	20.7
2001	11	25.9
2001	12	25.6
2002	1	30.5
2002	2	29.5
2002	3	28.4
2002	4	23.7
2002	5	21.3
2002	6	17.9
2002	7	16.9
2002	8	17.4
2002	9	18.4
2002	10	20.5
2002	11	25.9
2002	12	29.3
2003	1	31
2003	2	30.1
2003	3	29.4
2003	4	24.3
2003	5	22.4
2003	6	17.8
2003	7	16.7
2003	8	17.1
2003	9	18.5
2003	10	21
2003	11	26.7
2003	12	28.7
2004	1	31
2004	2	31.9
2004	3	28.5
2004	4	25.4
2004	5	20.3
2004	6	18.3
2004	7	16.8
2004	8	16.3
2004	9	19.2
2004	10	21.7
2004	11	24.4
2004	12	30.2
2005	1	30.8
2005	2	29.7
2005	3	30.2
2005	4	22.8
2005	5	22.1
2005	6	16.6
2005	7	17.2
2005	8	17.3
2005	9	17.8
2005	10	19.3
2005	11	23.8
2005	12	23.5
2006	1	28.2
2006	2	31.1
2006	3	29
2006	4	22.3
2006	5	20.9
2006	6	18.8
2006	7	18
2006	8	19.3
2006	9	19.7
2006	10	23
2006	11	27.1
2006	12	30.4
2007	1	29.7
2007	2	30.1
2007	3	29
2007	4	24
2007	5	19.2
2007	6	18.8
2007	7	17.8
2007	8	18
2007	9	18.8
2007	10	21.5
2007	11	27.9
2007	12	26.6
2008	1	31.7
2008	2	31.3
2008	3	28.4
2008	4	23.7
2008	5	20.9
2008	6	18.5
2008	7	16.6
2008	8	18.5
2008	9	19.3
2008	10	22.9
2008	11	22.7
2008	12	27.8
2009	1	32.2
2009	2	30.5
2009	3	27.7
2009	4	26.9
2009	5	23
